date,sku_id,opening_stock,units_sold,fulfilled_units,lost_sales_units,received_stock,order_placed_units,on_hand_units,reorder_point,reorder_quantity,on_order_units,lead_time_days,target_stock,inventory_status,estimated_inventory_value,days_of_supply,avg_weekly_forecast_rate,lead_time_demand,forward_window_demand,available_position,stockout_risk_score,overstock_risk_score,quadrant,recommended_action,unit_cost,list_price,stockout_value_at_risk,overstock_value_at_risk,estimated_value_at_stake
2016-04-24,FOODS_1_001_CA_1,12,0,0,0,0,0,12,7,24,0,5,12,Healthy,18.84,15.3,4.66996675900364,3.335690542145457,37.35973407202912,12,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.17,0.0,0.0,0.0
2016-04-24,FOODS_1_001_CA_2,9,4,4,0,0,0,5,10,36,36,5,18,Low Stock,7.85,4.3,8.645832904648671,6.175594931891908,69.16666323718937,41,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.17,0.0,0.0,0.0
2016-04-24,FOODS_1_001_CA_3,26,0,0,0,0,0,26,10,38,0,5,19,Healthy,40.82,21.6,6.353693902544664,4.5383527875319025,50.82955122035731,26,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.16,0.0,0.0,0.0
2016-04-24,FOODS_1_001_CA_4,11,1,1,0,0,0,10,3,12,0,5,6,Overstock,15.7,27.8,0.8232071471038788,0.5880051050741991,6.58565717683103,10,0.0,0.341434282316897,Healthy,No action needed; leave as is.,1.57,2.17,0.0,5.3605182323752825,5.3605182323752825
2016-04-24,FOODS_1_001_TX_1,10,0,0,0,0,0,10,5,18,0,5,9,Healthy,15.7,17.1,4.7045744094057325,3.360410292432666,37.63659527524586,10,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.16,0.0,0.0,0.0
2016-04-24,FOODS_1_001_TX_2,16,0,0,0,0,0,16,5,18,0,5,9,Overstock,25.12,27.5,4.073806874542112,2.9098620532443658,32.590454996336895,16,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.17,0.0,0.0,0.0
2016-04-24,FOODS_1_001_TX_3,7,0,0,0,0,0,7,4,14,0,5,7,Healthy,10.99,17.1,2.730454866255457,1.9503249044681836,21.843638930043657,7,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.17,0.0,0.0,0.0
2016-04-24,FOODS_1_001_WI_1,5,1,1,0,0,0,4,5,18,18,5,9,Low Stock,6.28,7.0,3.061520863746829,2.186800616962021,24.49216690997463,22,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.17,0.0,0.0,0.0
2016-04-24,FOODS_1_001_WI_2,16,0,0,0,0,0,16,4,14,0,5,7,Overstock,25.12,35.0,2.137188980266303,1.5265635573330736,17.097511842130423,16,0.0,0.0,Healthy,No action needed; leave as is.,1.57,2.17,0.0,0.0,0.0
2016-04-24,FOODS_1_001_WI_3,6,0,0,0,0,0,6,3,10,0,5,5,Healthy,9.42,20.4,0.7212266702278374,0.5151619073055982,5.769813361822699,6,0.0,0.038364439696216834,Healthy,No action needed; leave as is.,1.57,2.17,0.0,0.3613930219383626,0.3613930219383626
2016-04-24,FOODS_1_002_CA_1,9,0,0,0,0,0,9,4,16,0,5,8,Healthy,59.76,18.8,2.7156131849303047,1.9397237035216461,21.724905479442437,9,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.94,0.0,0.0,0.0
2016-04-24,FOODS_1_002_CA_2,18,0,0,0,0,0,18,5,20,0,5,10,Overstock,119.52,29.8,5.04145654901043,3.601040392150307,40.33165239208344,18,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.86,0.0,0.0,0.0
2016-04-24,FOODS_1_002_CA_3,5,1,1,0,0,0,4,3,10,0,5,5,Healthy,26.56,12.7,0.07299441537557999,0.05213886812541428,0.5839553230046399,4,0.0,0.85401116924884,Markdown / Clear,Promote or discount to free up capital.,6.64,8.94,0.0,22.68253665524919,22.68253665524919
2016-04-24,FOODS_1_002_CA_4,12,0,0,0,0,0,12,3,12,0,5,6,Overstock,79.68,35.9,1.8973270804984943,1.355233628927496,15.178616643987954,12,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.94,0.0,0.0,0.0
2016-04-24,FOODS_1_002_TX_1,8,0,0,0,0,0,8,2,6,0,5,3,Overstock,53.12,47.4,1.1489468047258657,0.8206762890899041,9.191574437806926,8,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.93,0.0,0.0,0.0
2016-04-24,FOODS_1_002_TX_2,3,0,0,0,0,0,3,2,8,0,5,4,Healthy,19.92,12.6,1.3229678068346988,0.9449770048819277,10.58374245467759,3,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.94,0.0,0.0,0.0
2016-04-24,FOODS_1_002_TX_3,8,0,0,0,0,0,8,3,10,0,5,5,Overstock,53.12,28.7,1.455719805254282,1.0397998608959156,11.645758442034255,8,0.0,0.0,Healthy,No action needed; leave as is.,6.64,8.94,0.0,0.0,0.0
