sku_id,item_id,category,department,store_id,state_id,launch_date,first_sale_date,last_sale_date,sku_age_days,days_since_last_sale,avg_price,max_observed_price,estimated_unit_cost,estimated_gross_margin,sku_status
FOODS_1_001_CA_1,FOODS_1_001,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-01-29,2016-04-23,1912,1,2.17,2.24,1.57,0.67,Active
FOODS_1_001_CA_2,FOODS_1_001,FOODS,FOODS_1,CA_2,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.17,2.24,1.57,0.67,Active
FOODS_1_001_CA_3,FOODS_1_001,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-01-29,2016-04-23,1912,1,2.16,2.24,1.57,0.67,Active
FOODS_1_001_CA_4,FOODS_1_001,FOODS,FOODS_1,CA_4,CA,2011-01-29,2011-01-30,2016-04-24,1912,0,2.17,2.24,1.57,0.67,Active
FOODS_1_001_TX_1,FOODS_1_001,FOODS,FOODS_1,TX_1,TX,2011-01-29,2011-01-30,2016-04-05,1912,19,2.16,2.24,1.57,0.67,Active
FOODS_1_001_TX_2,FOODS_1_001,FOODS,FOODS_1,TX_2,TX,2011-01-29,2011-01-31,2016-04-23,1912,1,2.17,2.24,1.57,0.67,Active
FOODS_1_001_TX_3,FOODS_1_001,FOODS,FOODS_1,TX_3,TX,2011-02-05,2011-02-08,2016-04-21,1905,3,2.17,2.24,1.57,0.67,Active
FOODS_1_001_WI_1,FOODS_1_001,FOODS,FOODS_1,WI_1,WI,2011-01-29,2011-01-30,2016-04-24,1912,0,2.17,2.24,1.57,0.67,Active
FOODS_1_001_WI_2,FOODS_1_001,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-02-03,2016-04-20,1912,4,2.17,2.24,1.57,0.67,Active
FOODS_1_001_WI_3,FOODS_1_001,FOODS,FOODS_1,WI_3,WI,2011-01-29,2011-02-03,2016-04-23,1912,1,2.17,2.24,1.57,0.67,Active
FOODS_1_002_CA_1,FOODS_1_002,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-01-30,2016-04-21,1912,3,8.94,9.48,6.64,2.84,Active
FOODS_1_002_CA_2,FOODS_1_002,FOODS,FOODS_1,CA_2,CA,2011-01-29,2011-01-29,2016-04-23,1912,1,8.86,9.48,6.64,2.84,Active
FOODS_1_002_CA_3,FOODS_1_002,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,8.94,9.48,6.64,2.84,Active
FOODS_1_002_CA_4,FOODS_1_002,FOODS,FOODS_1,CA_4,CA,2011-01-29,2011-01-30,2016-04-06,1912,18,8.94,9.48,6.64,2.84,Active
FOODS_1_002_TX_1,FOODS_1_002,FOODS,FOODS_1,TX_1,TX,2011-02-05,2011-02-09,2016-04-16,1905,8,8.93,9.48,6.64,2.84,Active
FOODS_1_002_TX_2,FOODS_1_002,FOODS,FOODS_1,TX_2,TX,2011-01-29,2011-01-31,2016-04-11,1912,13,8.94,9.48,6.64,2.84,Active
FOODS_1_002_TX_3,FOODS_1_002,FOODS,FOODS_1,TX_3,TX,2011-01-29,2011-01-31,2016-04-20,1912,4,8.94,9.48,6.64,2.84,Active
FOODS_1_002_WI_1,FOODS_1_002,FOODS,FOODS_1,WI_1,WI,2011-01-29,2011-01-30,2016-04-23,1912,1,8.94,9.48,6.64,2.84,Active
FOODS_1_002_WI_2,FOODS_1_002,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-01-29,2016-04-21,1912,3,8.99,9.48,6.64,2.84,Active
FOODS_1_002_WI_3,FOODS_1_002,FOODS,FOODS_1,WI_3,WI,2011-01-29,2011-01-30,2016-04-16,1912,8,8.94,9.48,6.64,2.84,Active
FOODS_1_003_CA_1,FOODS_1_003,FOODS,FOODS_1,CA_1,CA,2011-01-29,2011-02-02,2016-04-23,1912,1,2.98,3.23,2.26,0.97,Active
FOODS_1_003_CA_2,FOODS_1_003,FOODS,FOODS_1,CA_2,CA,2011-01-29,2011-01-29,2016-04-24,1912,0,2.98,3.23,2.26,0.97,Active
FOODS_1_003_CA_3,FOODS_1_003,FOODS,FOODS_1,CA_3,CA,2011-01-29,2011-01-29,2016-04-23,1912,1,2.98,3.23,2.26,0.97,Active
FOODS_1_003_CA_4,FOODS_1_003,FOODS,FOODS_1,CA_4,CA,2011-01-29,2011-01-30,2016-04-21,1912,3,2.98,3.23,2.26,0.97,Active
FOODS_1_003_TX_1,FOODS_1_003,FOODS,FOODS_1,TX_1,TX,2011-01-29,2011-02-03,2016-04-18,1912,6,2.97,3.23,2.26,0.97,Active
FOODS_1_003_TX_2,FOODS_1_003,FOODS,FOODS_1,TX_2,TX,2011-01-29,2011-01-30,2016-04-23,1912,1,2.98,3.23,2.26,0.97,Active
FOODS_1_003_TX_3,FOODS_1_003,FOODS,FOODS_1,TX_3,TX,2011-01-29,2011-01-29,2016-03-27,1912,28,2.97,3.23,2.26,0.97,Active
FOODS_1_003_WI_1,FOODS_1_003,FOODS,FOODS_1,WI_1,WI,2011-01-29,2011-01-29,2016-04-24,1912,0,2.98,3.23,2.26,0.97,Active
FOODS_1_003_WI_2,FOODS_1_003,FOODS,FOODS_1,WI_2,WI,2011-01-29,2011-01-30,2016-04-04,1912,20,2.97,3.23,2.26,0.97,Active
FOODS_1_003_WI_3,FOODS_1_003,FOODS,FOODS_1,WI_3,WI,2011-01-29,2011-02-03,2016-04-16,1912,8,2.98,3.23,2.26,0.97,Active
FOODS_1_004_CA_1,FOODS_1_004,FOODS,FOODS_1,CA_1,CA,2012-03-03,2012-03-08,2016-02-05,1513,79,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_004_CA_2,FOODS_1_004,FOODS,FOODS_1,CA_2,CA,2012-03-03,2012-03-08,2016-02-03,1513,81,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_004_CA_3,FOODS_1_004,FOODS,FOODS_1,CA_3,CA,2012-03-03,2012-03-07,2016-03-02,1513,53,1.83,1.96,1.37,0.59,Slow Moving
FOODS_1_004_CA_4,FOODS_1_004,FOODS,FOODS_1,CA_4,CA,2012-03-03,2012-03-08,2016-01-29,1513,86,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_004_TX_1,FOODS_1_004,FOODS,FOODS_1,TX_1,TX,2012-03-03,2012-03-08,2016-02-08,1513,76,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_004_TX_2,FOODS_1_004,FOODS,FOODS_1,TX_2,TX,2012-03-03,2012-03-08,2016-01-30,1513,85,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_004_TX_3,FOODS_1_004,FOODS,FOODS_1,TX_3,TX,2012-03-03,2012-03-08,2016-02-04,1513,80,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_004_WI_1,FOODS_1_004,FOODS,FOODS_1,WI_1,WI,2012-03-03,2012-03-08,2016-02-02,1513,82,1.85,1.96,1.37,0.59,Slow Moving
FOODS_1_004_WI_2,FOODS_1_004,FOODS,FOODS_1,WI_2,WI,2012-03-03,2012-03-08,2016-02-08,1513,76,1.85,1.96,1.37,0.59,Slow Moving
