Check,Status,Details
Decision log exists,Passed,C:\Users\hp\Project FORESIGHT\docs\decision_log.md
Decision log is not empty,Passed,"30,096 bytes"
Correct filename,Passed,decision_log.md
Document version is 1.1,Passed,Detected version: 1.1
Document status is Active,Passed,Detected status: Active
Required sections are present,Passed,All required sections found
DEC-001 through DEC-024 are present,Passed,All 24 decision identifiers found
Exactly 24 decision headings exist,Passed,Decision headings found: 24
Decision identifiers are unique,Passed,Unique identifiers found: 24
No unexpected decision identifiers exist,Passed,No unexpected identifiers found
Current core project decisions are documented,Passed,All current core decision topics found
Roadmap version 3.1 is explicitly locked,Passed,Current final governance state
Core technical scope is explicitly frozen,Passed,Current final governance state
Baseline production forecaster decision is documented,Passed,Current final governance state
Power BI de-scoping decision is documented,Passed,Current final governance state
Markdown code fences are balanced,Passed,Code-fence markers found: 0
