Check,Status,Details
Roadmap file exists,Passed,C:\Users\hp\Project FORESIGHT\docs\project_roadmap.md
Roadmap version is 3.0,Passed,Expected roadmap version: 3.0
Document status is Locked,Passed,Expected document status: Locked
Stage 1 status is Completed,Passed,Roadmap and governance stage must be completed
Stage 13 remains In Progress,Passed,Documentation must continue throughout the project
All 22 acceptance items are completed,Passed,Completed items found: 22
No acceptance items remain pending,Passed,Pending items found: 0
Sections 1 to 19 remain present,Passed,All required sections found
Lock declaration is present,Passed,Section 19 must contain the final lock declaration
Markdown code fences remain balanced,Passed,Code-fence markers found: 2
