feature,importance
demand_lag_1,1085
demand_lag_2,755
demand_rolling_std_4,754
demand_lag_4,709
demand_lag_26,699
demand_lag_8,641
demand_rolling_mean_4,613
demand_lag_13,603
demand_lag_52,602
demand_rolling_mean_8,547
time_index,427
prior_active_week_count,397
week_of_year_sin,390
demand_rolling_mean_13,366
demand_rolling_mean_26,354
week_of_year_cos,351
demand_rolling_mean_52,346
demand_rolling_std_52,319
snap_active_days,312
demand_rolling_std_13,301
item_id,238
week_of_year,231
store_id,195
event_days,146
active_week_rate_13,107
state_id,102
calendar_month,89
price_lag_8,62
price_rolling_mean_4_lag_8,53
category,52
cultural_event_flag,43
national_event_flag,34
weeks_since_last_sale,27
religious_event_flag,25
sporting_event_flag,19
price_change_lag_8,5
promo_rolling_rate_4_lag_8,1
promo_lag_8,0
department,0
